product_id, brand, desc, size, original_price, new_price, price_change
8095128,Balenciaga, speed trainer,9,$480,$450,6.25%
6608614,Balenciaga, Triple S,13,$524,-,
6665581,Balenciaga,WOOL  sweater with turtle neck,xs,$950,$692,27.16%
6876877,Balenciaga, Campaign T-shirt,m,$400,$360,10.0%
6245782,Balenciaga,Explorer Belt Pack,os,$670,$542,19.1%
8035190,Balenciaga  Chinatown Market,"" cap,os,$125,$100,20.0%
7620397,Balenciaga,Shearling Bombardier,s,$3000,$2187,27.1%
5916148,Balenciaga, Speed Sock Stretch-Knit Sneakers White,9,$580,$522,10.0%
7366990,Balenciaga,🦋🏀(Buy Now For $500)  Track Sneakers,7.5,$1200,$102,91.5%
7529767,Balenciaga,Marine Lave B.B. Tshirt,xl,$385,-,
5895105,Balenciaga,OFFER UP NEED GONE ASAP  Speed Trainer,10,$666,$589,11.56%
540094,Balenciaga,Selling this very rare  floral bomber jacket,m,$1100,$891,19.0%
4212491,Balenciaga,Triple S,9,$1150,-,
8317991,Balenciaga, Power Of Dreams Profil Collar Puffer Jacket $ 2,990,m,$2100,-,
2520935,Balenciaga,Black Bomber Jacket,m,$400,-,
8021014,Balenciaga,Balanciaga Small Logo Tee,m,$250,$225,10.0%
